,colsample_bytree,eta,eval_metric,gamma,lambda,max_depth,min_child_weight,objective,score,silent,subsample
0,0.55,0.008,auc,0.95,1.45,18.0,4.0,binary:logistic,0.707473636546,1,0.95
1,0.8,0.0019,auc,0.6,0.48,14.0,3.0,binary:logistic,0.710258128074,1,0.8
2,0.9,0.0088,auc,0.85,0.07,16.0,3.0,binary:logistic,0.707245986698,1,0.6
3,0.85,0.004,auc,0.65,0.17,23.0,2.0,binary:logistic,0.703207327064,1,0.65
4,0.9,0.0066,auc,0.6,0.91,16.0,6.0,binary:logistic,0.708184363625,1,0.7
5,0.7,0.0072,auc,0.85,1.28,9.0,2.0,binary:logistic,0.713382677973,1,0.85
6,0.85,0.0074,auc,0.85,0.37,13.0,5.0,binary:logistic,0.710687203149,1,0.8
7,0.95,0.0005,auc,0.7,0.27,13.0,2.0,binary:logistic,0.703376669458,1,0.5
8,0.65,0.0026,auc,0.6,0.13,14.0,6.0,binary:logistic,0.709502419253,1,0.55
9,0.7,0.0096,auc,0.65,0.52,9.0,1.0,binary:logistic,0.713204872695,1,0.7
10,0.85,0.0036,auc,0.7,0.2,17.0,3.0,binary:logistic,0.706855098538,1,0.8
11,0.6,0.0077,auc,0.5,0.91,24.0,6.0,binary:logistic,0.706553098118,1,0.8
12,0.8,0.0037,auc,0.7,0.3,22.0,4.0,binary:logistic,0.703484161622,1,0.85
13,0.65,0.0081,auc,0.7,1.32,21.0,5.0,binary:logistic,0.703994347411,1,1.0
14,0.8,0.0062,auc,0.8,0.74,23.0,4.0,binary:logistic,0.702853804438,1,0.9
15,0.5,0.0014,auc,1.0,0.15,11.0,5.0,binary:logistic,0.712784558336,1,0.65
16,0.95,0.0051,auc,0.75,1.47,12.0,3.0,binary:logistic,0.709956570536,1,0.5
17,0.55,0.0052,auc,0.55,0.13,16.0,2.0,binary:logistic,0.709000131901,1,0.55
18,0.75,0.0023,auc,0.8,0.88,21.0,5.0,binary:logistic,0.706163701302,1,0.7
19,0.7,0.0024,auc,0.55,0.22,16.0,5.0,binary:logistic,0.706628543454,1,0.85
20,0.7,0.0098,auc,0.9,1.17,8.0,1.0,binary:logistic,0.713171945536,1,0.75
21,0.7,0.0098,auc,0.95,0.57,9.0,1.0,binary:logistic,0.713506737851,1,0.9
22,0.65,0.0091,auc,1.0,1.2,10.0,1.0,binary:logistic,0.713056833128,1,0.95
23,0.75,0.0063,auc,0.95,0.64,9.0,2.0,binary:logistic,0.711501426444,1,1.0
24,0.6,0.0086,auc,0.9,1.11,8.0,1.0,binary:logistic,0.713641308067,1,0.9
25,0.6,0.0087,auc,0.95,1.05,11.0,1.0,binary:logistic,0.713036992968,1,0.95
26,0.5,0.0098,auc,0.9,0.7,8.0,1.0,binary:logistic,0.713789459069,1,0.9
27,0.5,0.01,auc,0.9,1.04,8.0,1.0,binary:logistic,0.71378430032,1,0.9
28,0.5,0.0092,auc,0.9,0.7,19.0,2.0,binary:logistic,0.705809924487,1,0.95
29,0.55,0.0082,auc,0.8,1.01,11.0,1.0,binary:logistic,0.712451552967,1,1.0
30,0.5,0.01,auc,1.0,0.82,19.0,2.0,binary:logistic,0.706307513131,1,0.9
31,0.55,0.0069,auc,0.9,1.34,14.0,3.0,binary:logistic,0.710875748964,1,0.75
32,0.5,0.0057,auc,0.75,0.41,10.0,1.0,binary:logistic,0.714350636434,1,0.85
33,0.55,0.0058,auc,0.75,0.42,10.0,3.0,binary:logistic,0.713759040556,1,0.85
34,0.6,0.0041,auc,0.85,0.63,14.0,2.0,binary:logistic,0.710692182894,1,0.75
35,1.0,0.0014,auc,0.8,0.05,12.0,2.0,binary:logistic,0.709744697317,1,0.95
36,0.55,0.0046,auc,0.65,0.42,15.0,1.0,binary:logistic,0.709238634015,1,0.8
37,0.5,0.003,auc,0.75,0.34,10.0,4.0,binary:logistic,0.714085489182,1,0.85
38,0.65,0.0032,auc,0.75,0.33,13.0,4.0,binary:logistic,0.711588429522,1,0.65
39,0.6,0.0008,auc,0.65,0.02,18.0,4.0,binary:logistic,0.705155532863,1,0.8
40,0.9,0.003,auc,0.65,0.53,12.0,3.0,binary:logistic,0.711361741263,1,0.7
41,0.55,0.0045,auc,0.6,0.45,10.0,4.0,binary:logistic,0.713730493791,1,0.85
42,0.8,0.0056,auc,0.7,0.36,15.0,6.0,binary:logistic,0.709445557896,1,0.6
43,0.5,0.0043,auc,0.75,0.81,25.0,4.0,binary:logistic,0.707310620496,1,0.8
44,0.6,0.0002,auc,0.8,0.24,13.0,5.0,binary:logistic,0.70378073165,1,0.85
45,0.65,0.0033,auc,0.85,0.08,17.0,4.0,binary:logistic,0.708344742721,1,0.75
46,1.0,0.0016,auc,0.7,0.29,15.0,6.0,binary:logistic,0.702929621601,1,1.0
47,0.85,0.0074,auc,0.55,0.49,10.0,5.0,binary:logistic,0.712041697211,1,0.65
48,0.75,0.0037,auc,0.85,0.59,11.0,3.0,binary:logistic,0.712378223678,1,0.7
49,0.95,0.0048,auc,0.5,0.39,9.0,5.0,binary:logistic,0.712607585618,1,0.8
50,0.65,0.001,auc,0.6,0.17,12.0,3.0,binary:logistic,0.70890263341,1,0.85
51,0.5,0.0021,auc,0.7,0.96,20.0,4.0,binary:logistic,0.707766516583,1,0.75
52,0.9,0.0028,auc,0.65,0.26,13.0,3.0,binary:logistic,0.710804824413,1,0.8
53,0.7,0.0066,auc,0.75,0.11,9.0,6.0,binary:logistic,0.712129200723,1,0.6
54,0.8,0.0055,auc,0.8,0.52,17.0,4.0,binary:logistic,0.70708493373,1,0.9
55,0.55,0.0061,auc,0.6,0.83,18.0,5.0,binary:logistic,0.707716508168,1,0.95
56,0.55,0.0038,auc,0.7,0.21,11.0,3.0,binary:logistic,0.713715810857,1,0.85
57,0.6,0.0018,auc,0.85,0.74,14.0,5.0,binary:logistic,0.707591594793,1,1.0
58,0.7,0.0069,auc,0.75,0.65,16.0,4.0,binary:logistic,0.707816993303,1,0.95
59,0.5,0.0025,auc,0.8,0.57,22.0,6.0,binary:logistic,0.708570172905,1,0.7
60,0.85,0.0048,auc,0.55,0.31,12.0,2.0,binary:logistic,0.711595412253,1,0.9
61,0.6,0.0053,auc,0.7,0.02,8.0,3.0,binary:logistic,0.71370732771,1,0.85
62,0.5,0.0059,auc,0.65,0.36,10.0,5.0,binary:logistic,0.712770064402,1,0.6
63,0.65,0.0079,auc,0.8,0.47,15.0,2.0,binary:logistic,0.709261280207,1,0.8
64,0.65,0.0041,auc,0.95,1.4,9.0,4.0,binary:logistic,0.712995517087,1,0.7
65,0.5,0.0094,auc,1.0,0.71,8.0,1.0,binary:logistic,0.713894524723,1,0.9
66,0.55,0.009,auc,1.0,0.69,9.0,1.0,binary:logistic,0.713905469409,1,0.95
67,0.55,0.0088,auc,0.95,0.89,11.0,1.0,binary:logistic,0.71245669187,1,1.0
68,0.5,0.0075,auc,0.85,0.43,10.0,2.0,binary:logistic,0.71371399534,1,0.95
69,0.55,0.0034,auc,0.5,0.79,9.0,1.0,binary:logistic,0.714078853113,1,0.95
70,0.6,0.0034,auc,0.75,0.94,8.0,1.0,binary:logistic,0.713812731336,1,0.9
71,0.5,0.002,auc,0.7,1.18,11.0,2.0,binary:logistic,0.713638957532,1,0.85
72,0.55,0.0002,auc,0.75,1.13,10.0,1.0,binary:logistic,0.699610495601,1,1.0
73,0.6,0.0028,auc,0.65,0.85,13.0,2.0,binary:logistic,0.711795052819,1,0.95
74,0.5,0.005,auc,0.6,0.78,13.0,3.0,binary:logistic,0.712310326639,1,0.9
75,0.55,0.0011,auc,0.85,0.6,12.0,2.0,binary:logistic,0.709661619593,1,0.8
76,0.75,0.0065,auc,0.55,0.18,8.0,4.0,binary:logistic,0.713255973882,1,0.85
77,0.8,0.0044,auc,0.8,1.26,14.0,1.0,binary:logistic,0.709520482419,1,0.75
78,0.7,0.0022,auc,0.7,0.51,9.0,3.0,binary:logistic,0.711587857993,1,1.0
79,0.5,0.0039,auc,0.75,0.98,11.0,1.0,binary:logistic,0.713631430842,1,0.8
80,0.55,0.007,auc,0.5,0.66,25.0,4.0,binary:logistic,0.705258544957,1,0.9
81,0.65,0.0084,auc,0.8,0.56,10.0,2.0,binary:logistic,0.71326564139,1,0.95
82,0.6,0.0031,auc,0.9,0.77,12.0,3.0,binary:logistic,0.712839886289,1,0.85
83,0.5,0.0028,auc,0.6,0.39,9.0,4.0,binary:logistic,0.7138421234,1,0.75
84,0.55,0.0036,auc,0.65,1.06,16.0,5.0,binary:logistic,0.708321101044,1,0.9
85,0.6,0.0047,auc,0.7,0.1,14.0,4.0,binary:logistic,0.71119203378,1,0.85
86,0.65,0.0007,auc,0.5,0.33,23.0,1.0,binary:logistic,0.697019666462,1,1.0
87,0.5,0.0054,auc,0.75,0.27,8.0,2.0,binary:logistic,0.713777658027,1,0.8
88,0.7,0.0051,auc,0.8,0.62,9.0,5.0,binary:logistic,0.7131751618,1,0.95
89,0.55,0.0034,auc,0.9,0.46,20.0,3.0,binary:logistic,0.705835289662,1,0.9
90,0.6,0.0059,auc,0.7,0.14,13.0,1.0,binary:logistic,0.711495814721,1,0.8
